x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
0.000000e+00  1.835294e-02  2.925963e+00  5.370000e-02  0.000000e+00  1.500000e+03  2.800000e-01  9.000000e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.300000e-01  1.000000e+00  
6.456901e-12  1.835294e-02  2.925963e+00  5.370000e-02  2.206761e-12  1.500000e+03  2.800000e-01  9.000000e-02  2.450697e-19  1.791754e-14  3.517825e-20  1.325575e-13  1.791385e-14  4.284403e-24  6.300000e-01  1.000000e+00  
6.457547e-08  1.835294e-02  2.925963e+00  5.370000e-02  2.206982e-08  1.500000e+03  2.800000e-01  9.000000e-02  2.406676e-11  2.031269e-10  1.333665e-13  1.301764e-09  1.791557e-10  4.281941e-16  6.300000e-01  1.000000e+00  
5.903878e-07  1.835294e-02  2.925963e+00  5.370000e-02  2.017756e-07  1.500000e+03  2.800000e-01  8.999999e-02  1.187784e-09  2.815832e-09  1.025575e-11  1.094348e-08  1.637932e-09  2.277498e-14  6.300000e-01  1.000000e+00  
1.116200e-06  1.835294e-02  2.925963e+00  5.370000e-02  3.814813e-07  1.500000e+03  2.800000e-01  8.999999e-02  3.525640e-09  6.587368e-09  3.609681e-11  1.942776e-08  3.096694e-09  7.017708e-14  6.300000e-01  1.000000e+00  
1.642012e-06  1.835294e-02  2.925963e+00  5.370000e-02  5.611871e-07  1.500000e+03  2.800000e-01  8.999998e-02  6.995362e-09  1.146954e-08  8.321473e-11  2.680538e-08  4.555459e-09  1.446015e-13  6.300000e-01  1.000000e+00  
2.619883e-06  1.835294e-02  2.925963e+00  5.370000e-02  8.953918e-07  1.500000e+03  2.799999e-01  8.999997e-02  1.595832e-08  2.298365e-08  2.458209e-10  3.811022e-08  7.268438e-09  3.566399e-13  6.300000e-01  1.000000e+00  
3.597753e-06  1.835294e-02  2.925963e+00  5.370000e-02  1.229596e-06  1.500000e+03  2.799999e-01  8.999995e-02  2.768203e-08  3.714857e-08  5.180426e-10  4.680198e-08  9.981552e-09  6.638603e-13  6.300000e-01  1.000000e+00  
5.068616e-06  1.835294e-02  2.925963e+00  5.370000e-02  1.732290e-06  1.500000e+03  2.799999e-01  8.999993e-02  4.936680e-08  6.227635e-08  1.158426e-09  5.616937e-08  1.406288e-08  1.303877e-12  6.300000e-01  1.000000e+00  
6.539479e-06  1.835294e-02  2.925963e+00  5.370000e-02  2.234984e-06  1.500000e+03  2.799998e-01  8.999991e-02  7.454218e-08  9.059611e-08  2.096664e-09  6.253906e-08  1.814480e-08  2.155137e-12  6.300000e-01  1.000000e+00  
8.010342e-06  1.835294e-02  2.925963e+00  5.370000e-02  2.737677e-06  1.500000e+03  2.799998e-01  8.999989e-02  1.020236e-07  1.209142e-07  3.338466e-09  6.717552e-08  2.222741e-08  3.214360e-12  6.300000e-01  1.000000e+00  
9.481204e-06  1.835294e-02  2.925963e+00  5.370000e-02  3.240371e-06  1.500000e+03  2.799997e-01  8.999987e-02  1.311508e-07  1.525822e-07  4.872611e-09  7.080538e-08  2.631078e-08  4.478275e-12  6.300000e-01  1.000000e+00  
1.095207e-05  1.835294e-02  2.925963e+00  5.370000e-02  3.743065e-06  1.500000e+03  2.799997e-01  8.999985e-02  1.616099e-07  1.853082e-07  6.680102e-09  7.379827e-08  3.039495e-08  5.943798e-12  6.300000e-01  1.000000e+00  
1.242293e-05  1.835294e-02  2.925963e+00  5.370000e-02  4.245758e-06  1.500000e+03  2.799996e-01  8.999983e-02  1.932288e-07  2.189412e-07  8.741115e-09  7.637546e-08  3.447997e-08  7.607963e-12  6.300000e-01  1.000000e+00  
1.389379e-05  1.835294e-02  2.925963e+00  5.370000e-02  4.748452e-06  1.500000e+03  2.799996e-01  8.999980e-02  2.258862e-07  2.533780e-07  1.103729e-08  7.870146e-08  3.856584e-08  9.467846e-12  6.300000e-01  1.000000e+00  
1.644660e-05  1.835294e-02  2.925963e+00  5.370000e-02  5.620918e-06  1.500000e+03  2.799995e-01  8.999976e-02  2.848388e-07  3.149073e-07  1.553340e-08  8.244429e-08  4.565930e-08  1.315190e-11  6.300000e-01  1.000000e+00  
1.899940e-05  1.835294e-02  2.925963e+00  5.370000e-02  6.493384e-06  1.500000e+03  2.799994e-01  8.999972e-02  3.465158e-07  3.785777e-07  2.061105e-08  8.613886e-08  5.275546e-08  1.740187e-11  6.300000e-01  1.000000e+00  
2.155220e-05  1.835294e-02  2.925963e+00  5.370000e-02  7.365850e-06  1.500000e+03  2.799993e-01  8.999968e-02  4.109153e-07  4.444514e-07  2.620564e-08  8.996737e-08  5.985441e-08  2.220323e-11  6.300000e-01  1.000000e+00  
2.410500e-05  1.835294e-02  2.925963e+00  5.370000e-02  8.238315e-06  1.500000e+03  2.799992e-01  8.999963e-02  4.781533e-07  5.126923e-07  3.226823e-08  9.398394e-08  6.695624e-08  2.754185e-11  6.300000e-01  1.000000e+00  
2.665780e-05  1.835294e-02  2.925963e+00  5.370000e-02  9.110781e-06  1.500000e+03  2.799991e-01  8.999958e-02  5.483832e-07  5.834873e-07  3.876394e-08  9.819880e-08  7.406103e-08  3.340396e-11  6.300000e-01  1.000000e+00  
